supplier_name_original,abn,acn,match_method
Davidson HR Consulting Pty Ltd,,,
Ecomed Trading Pty Ltd,,,
Nurse at Call.Com Pty Ltd,,,
Queensland Teachers' Union of Employees (QUEST),,,
Turner and Townsend Project Management Pty Ltd,,,
PeakXD (the Trustee for The Peak Usability Trust),,,
Marvel Engineers Pty Ltd ATF Marvel Engineers Trust,,,
Aegis9 (QLD) Pty Ltd - ABN 81644491663,81644491663.0,,extracted_from_name
"Centre for Leadership and Adaptive Development,",,,
Pivotpoint Partners Pty Ltd,,,
Telephone: 1300 910 915 or 0413221621,,,
The Trustee For The Orthotic & Prosthetic Centre Unit Trust (OPC Health),,,
Applied Satellite Technology Australia Pty Ltd – ABN 33065247412,33065247412.0,,extracted_from_name
Integrated Enterprise Solutions Pty Ltd,,,
Kookaburra Educational Resources,,,
Work Rehab,,,
Diversey Australia Pty Ltd,,,
Email:  ben@cardiffair.net.au,,,
Haz-Elec Industries Pty Ltd,,,
Clinical Knowledge Management Pty Ltd,,,
Vocus Pty Ltd T,,,
Fergus Builders Pty Ltd,,,
Roadrunner Couriers Australia,,,
Flavour Creations,,,
"a AccessHQ, ABN 13 069 942 552",13069942552.0,,extracted_from_name
Hawkijac Pty Ltd,,,
Landauer Australasia Pty Ltd,,,
Redd Digital Services Pty Ltd (formerly 6YS),,,
GMH ELECTRICAL CONTRACTING PTY LTD,,,
• Fairmont Medical Products Pty Ltd,,,
Working Mouse Pty Ltd,,,
CEI Pty Limited t,,,
Paddington Qld 4064,,,
COATING.WIDEBAY PTY LTD,,,
SEAGRANGE PTY LTD,,,
Jardine Constructions Pty Ltd,,,
Finite Group APAC Pty Ltd,,,
Skillsoft Asia Pacific Pty Ltd,,,
The Trustee for Mcnicol Family Trust (Advanced Clinical Sciences),,,
A_Space Australia Pty Ltd,,,
Infoshield Consulting Pty Ltd,,,
a PeakXD),,,
Tully Support Centre Inc,,,
Mobile: 0488 083 277,,,
Albacore Consulting Group Pty Ltd,,,
Tecnica Consulting Pty Ltd,,,
Flavour Creations Pty Ltd,,,
Executive Consulting Group,,,
Infinitum Partners Pty Ltd,,,
Capital Transport Services Pty Ltd,,,
Vyaire Medical Pty Ltd,,,
Med-X Pty Ltd,,,
HCCM PTY LTD,,,
Baidam Solutions Pty Ltd - ABN 11626747073,11626747073.0,,extracted_from_name
KJ Ross & Associates Pty Ltd T,,,
ALL COME PLUMBING PTY LTD,,,
Stenhouse Recruitment Services,,,
Email: infoqld@empoweredlearning.com,,,
• Bard Australia Pty Ltd,,,
Brendan O’Donnell Fencing Pty Ltd,,,
WESTERN SHAMROCK PLUMBING PTY LTD Business Name: O'Connell's Plumbing,,,
"ROY STURDY PLUMBING, GAS FITTING & ROOFING PTY LTD",,,
Transpacific Services Pty Ltd,,,
Kramenna Pty Ltd ATF The Kramenna Trust (t,,,
ABN: 13 113 311 005,13113311005.0,,extracted_from_name
Frontier Assembly Pty Ltd,,,
SABE Services Group,,,
LA3 Pty Ltd,,,
a Kineo),,,
Contactus Electrical Pty Ltd,,,
Device Technologies Australia Pty Ltd,,,
Rhombus PM Pty Ltd,,,
Redd Digital Services Pty Ltd - ABN 57633113836,57633113836.0,,extracted_from_name
Elite Medical,,,
Thorpe Corporation Pty Ltd (t,,,
Powell Dods and Thorpe Pty Limited,,,
HLB Mann Judd,,,
The Bruce Penfold Family Trust ATF Penfold Family Trust t,,,
Translationz Pty Ltd,,,
Coregas Pty Limited,,,
BURLEIGH HEADS  QLD  4220,,,
E3 Advisory Pty Ltd,,,
GE Healthcare,,,
BENSON ELECTRICAL SOLUTIONS PTY LTD,,,
Strategic Management Coaching Pty Ltd trading as Trevor Roberts,,,
O&M Halyard Australia Pty Limited,,,
"HALL, KEVIN ANDREW",,,
Smith & Nephew Pty Ltd,,,
PLUMBNORTH PTY LTD,,,
RoadPro Acoustics,,,
Sincere Medical Australia (SMA),,,
Beaconfield Partners Pty Ltd,,,
BDR Projects,,,
The Nous Group,,,
19. WV Technologies Ltd                          Category 2,,,
www.boxandco.com.au,,,
NewBase Computer Services Pty Ltd (a CT4 company),,,
Tenders: commercial@rizon.com.au,,,
Six Degrees (QLD) Pty Ltd,,,
Koala Medical Pty Ltd,,,
Harleys Educational,,,
TechConnect IT Solutions Pty Ltd,,,
POWE Architects Pty Ltd,,,
SLR Consulting Australia Pty Ltd,,,
Resilience Outcomes Australia Pty Ltd - ABN 43780830234,43780830234.0,,extracted_from_name
Inform Strategic Consulting (formally p. s. Collaborative),,,
Forrester Research Limited - ABN 68613097171,68613097171.0,,extracted_from_name
Eco Teq Pty Ltd,,,
Certus Solutions Pty Ltd,,,
a TEKsystems Services),,,
Parsons Brinckerhoff,,,
Davidson HR Consulting,,,
Contact: Justin Bielefeld or Steve Hilliar,,,
ABN:  48 009 669 836,48009669836.0,,extracted_from_name
Solute Consulting,,,
Herron Todd White,,,
3rdView Consulting,,,
Cathay Pacific Airways,,,
Winc (formerly Staples Australia Pty Ltd),,,
Emposo (formerly James Harvard),,,
Ethan Indigenous Pty Ltd,,,
Email: phil@cowiegroup.com.au,,,
• Cupra,,,
LitSupport Pty Ltd (re-branded to TIMG (The Information Management Group)),,,
Halcyon Knights QLD Pty Ltd,,,
Hudson Global Resources (Australia) Pty Ltd,,,
Total Infrastructure Solutions Pty Ltd (Sure Power),,,
Harrison Infrastructure Group Pty Ltd,,,
Independent Living Specialist,,,
TBH,,,
Steris Australia Pty Ltd,,,
4Park Pty Ltd t,,,
"Lucius Pitkin, Inc",,,
Westbourne College Pty Ltd,,,
Zimmer Biomet Pty Ltd,,,
J.J Richards & Sons Pty Ltd,,,
"BALLANTYNE, TREVOR",,,
Barkly Aviation Pty Ltd,,,
K.J. Ross & Associates Pty Ltd T?A KJR,,,
Jacobs Australia Pty Ltd - ABN 12079749287,12079749287.0,,extracted_from_name
VITS LanguageLoop,,,
Enable Professional Services Pty Ltd,,,
O'Connor Marsden & Associates Pty Limited,,,
WRM Water Environment Pty Ltd,,,
Medeleq Pty Ltd,,,
J.H BURNS & N.N BURNS,,,
Solute Consulting Pty Ltd,,,
Capital Insight Pty,,,
Vanguard Health,,,
N & P CONTRACTING PTY. LTD.,,,
Bdna Group Pty Ltd,,,
Infosys Technologies Limited,,,
Phone:  (07) 3390 3562,,,
Tract Consultants Pty Ltd,,,
SME Gateway,,,
CS Energy,,,
a Prodigise),,,
• Audi,,,
"MURPHY, ANDREW MICHAEL",,,
Thirdera AUS Pty Ltd,,,
Downs Office Equipment,,,
Versent Pty Ltd,,,
Rider Levett Bucknall Qld Pty Ltd,,,
Elevation Architecture Pty Ltd,,,
Aldridge Traffic Systems Pty Limited,,,
Quality Innovation Performance Limited (QIP),,,
xAmplify Services Pty Ltd,,,
TATA Consultancy Services,,,
Cyber-Tech Institute of Australasia,,,
Medical Rescue Pty Ltd,,,
IPTel Solutions Pty Ltd – ABN 95118836534,95118836534.0,,extracted_from_name
Solutions in Transport Pty Ltd,,,
Mobile:  0490 431 984,,,
Singh Fabrications Pty Ltd,,,
Invise Pty Ltd - ABN 47639128948,47639128948.0,,extracted_from_name
CBC Staff Selection,,,
Platinum Closing Pty Ltd (Platinum Health Supply Group),,,
Nous Group Pty Ltd,,,
Capgemini Australia Pty Ltd,,,
43 McCarthy Road,,,
Avis Australia (T,,,
RNL CONSTRUCTIONS PTY. LTD.,,,
SMS Consulting Group Limited - ABN 17006515028,17006515028.0,,extracted_from_name
• Red Suit Advertising,,,
Two Can Do Pty Ltd (TWW Townsville),,,
• MG Motor,,,
TNT Express (FedEx),,,
GMH Electrical Contracting Pty Ltd,,,
Require Resources,,,
Gammer Consulting Pty Ltd,,,
"Napranum, QLD 4874",,,
a Tritusa Consulting),,,
Yell IT Group (a CyberCX company),,,
"17 Exeter Way, Caloundra West, QLD 4551, Contact: Adam Davis, Ph: 1300 885 854, Mob: 0424 366 898, Email: support@tplconnect.com.au, doe@tplconnect.com.au",,,
E and E it Solutions,,,
CGI Technologies and Solutions Australia Pty Limited - ABN 39001260699,39001260699.0,,extracted_from_name
JY Australia Pty Ltd,,,
MP HOLDINGS (QLD) PTY LTD,,,
LifeHealthcare Distribution,,,
Huesker Australia Pty Ltd,,,
iseek,,,
MURA Connect,,,
Blue Visions Management Pty Ltd (t,,,
• Insight Research Services Associated (Adasis Consulting),,,
XVT,,,
• Multigate Medical Devices Pty Ltd,,,
Oobe Pty Ltd,,,
A. Gabrielli Constructions,,,
OptiMed Technologies Pty Ltd,,,
PO Box 644,,,
• OptiMed Technologies Pty Ltd,,,
Contract Personnel Pty Ltd,,,
Bryant Building Contractors Pty Ltd,,,
35 French Street,,,
FMA Engineering Services Pty Ltd,,,
M&N Enterprises Pty Ltd t,,,
Paragon Care,,,
ES2 Pty Ltd,,,
Dynamic Prosthetics Orthotics,,,
For Customised Procedure Packs:,,,
Crystalite Design Pty Ltd,,,
GM & CB Pty Ltd ATF GM & CB Unit Trust t,,,
Intelligent Business Research Services Pty Ltd - ABN 98107618404,98107618404.0,,extracted_from_name
Email:  info@pbiaustralia.com,,,
RPS AAP Consulting Pty Ltd,,,
Infosys Portland,,,
The Trustee for The Pecan Johnston Unit Trust T,,,
3M Australia Pty Limited,,,
Metering Dynamics Pty Ltd (trading as Yurika Metering),,,
ABN: 34 620 164 641,34620164641.0,,extracted_from_name
Envista Pty Ltd,,,
Step Two Designs Pty Ltd,,,
Perfekt Pty Ltd,,,
"Mercer Learning,",,,
Phone: (07) 3225 7290,,,
Email:  av@evolvecairns.com.au,,,
Blight Rayner Architecture Pty Ltd,,,
Molnlycke Health Care Pty Ltd,,,
Draeger Medical Australia Pty Ltd,,,
Telephone: 07 3908 2700,,,
t,,,
Phone: 07 3394 8339,,,
ipSCAPE Pty Ltd – ABN 80115398448,80115398448.0,,extracted_from_name
"19 Moreton Bay Road, Capalaba Qld 4157, Contact: Ryan Blanch, Ph: 07 3823 6400, Mob: 0423 500 873, Email: adminqld.elec@equans.com, ryan.blanch@equans.com",,,
Computers Now Pty Ltd,,,
LifeHealthcare Distribution P,,,
EssenceMediacom Pty Limited,,,
R and KM Jordin Pty Ltd t,,,
A Nexium) – ABN 34106459465,34106459465.0,,extracted_from_name
Vector Shade Structures Pty Ltd,,,
Medtronic Australasia Pty Ltd,,,
Mount Isa Pest Control,,,
REFRIGERATED TECHNOLOGIES (QLD) PTY LTD,,,
a Insight Research Services Australia,,,
Whizdom Pty Ltd,,,
Ashurst Australia,,,
CONSTRUCT BUILD RENOVATE QLD PTY LTD,,,
Ehrlich Layton International Pty Ltd,,,
Major Initiatives only,,,
Rounsefell Design Pty Ltd,,,
L,,,
Protiviti Pty Ltd,,,
AES Environmental,,,
Contact QFleet for details,,,
C9 Unit Trust (t,,,
• Lordell Trading,,,
Centum Services,,,
Outer Web Pty Ltd,,,
a Bluewing Haven),,,
Aryon Pty Ltd,,,
CALIBRE PLUMBING AND ROOFING PTY LTD,,,
Mobile: 0417 717 890,,,
Reid Healthcare,,,
Everty Pty Ltd,,,
ICU Medical Australia Pty Ltd,,,
Cloud Kinetics Australia Pty Ltd,,,
Digital Product Advisors Pty Ltd (t,,,
Hewlett Packard Australia Pty Ltd,,,
"Unit 2, 96 Gardens Drive",,,
Facsimile:    07 3356 5877,,,
Group 4 - Early Intervention Program Services,,,
Contact:  Lisa Forbes,,,
Telephone: 07 3272 6733,,,
Demex Pty Ltd,,,
Mediserve Pty Ltd,,,
Email: education@computeralliance.com.au,,,
MODSCAPE COMMERCIAL PTY LTD,,,
New Gauge Digital (Holistis Pty Ltd),,,
Inside Policy Pty Ltd,,,
Deloitte,,,
Phoenix Contracting QLD,,,
MORNINGSIDE QLD 4170,,,
Criteria Australia (Formerly Revelian Pty Ltd),,,
"DIAZ, MURRAY",,,
The following Suppliers are currently on the arrangement:,,,
Manheim Pty Ltd (ABN#79 089 074 206),,,
PJ GARLAND & SONS BUILDERS PTY LTD,,,
H G & M A WARD,,,
Evexia Pty Ltd,,,
Lamson Concepts Pty Ltd,,,
XDrive,,,
Procurement People Pty Ltd,,,
SoftwareONE Australia Pty Ltd,,,
Bligh Tanner Pty Ltd,,,
"ABEL, COLIN GEOFFREY",,,
The Buchan Group (Aust) Pty Ltd,,,
Elemental Solutions Partners (ESP),,,
Covax Australia Pty Ltd,,,
Kings Resources Pty Ltd,,,
Invise Pty Ltd (t,,,
Fujitsu Australia Ltd,,,
Patient Zero Pty Ltd,,,
Contact: John Healy,,,
TEZNIK PTY LTD,,,
Syntura Pty Ltd,,,
• Censeo Consulting (The Trustee For RESI Consulting Trust),,,
Element8 Project Group EMAT Consulting Pty Ltd,,,
Jag FT (Jag Finance & Technology),,,
Phoenix Occupational Medicine,,,
WorkingWell – Corporate Wellbeing and Health (previously CentacareCQ,,,
C & I P CAIRNS PTY LTD,,,
Medline International Two Australia Pty Ltd,,,
Dell Australia Pty Limited - ABN 46003855561,46003855561.0,,extracted_from_name
Harrison Human Resources Pty Ltd,,,
Ricoh Australia Pty Ltd - ABN 30000593171,30000593171.0,,extracted_from_name
ArcBlue Consulting,,,
Alcidion Aus Pty Ltd (t,,,
Keystone Negotiation,,,
Telephone: 07 4755 1006,,,
Human Ingredient,,,
Queensland Computers - www.queenslandcomputers.com.au,,,
SCHNEIDER ELECTRIC (AUSTRALIA) PTY LIMITED,,,
IPA Personnel Services Pty Ltd,,,
AccessEAP,,,
"MiTraining Ltd RTO,",,,
Nick Stevens Consulting Pty Ltd,,,
Quality People Pty Ltd,,,
GA-BUBU PTY LTD,,,
Equate Technologies,,,
HIGGINS COATINGS PROPRIETARY LIMITED,,,
Capital Talent Consulting Pty Ltd,,,
IE-Infotech Pty Ltd,,,
(Project Mgmt team merged with Turner & Townsend),,,
JOHNSON CONTROLS AUSTRALIA PTY LTD,,,
Time & Access Systems (Australasia) Pty Ltd (ABN 50 140 107 213).,50140107213.0,,extracted_from_name
SecAlerts Pty Ltd,,,
HOBAN Recruitment,,,
Midmed Pty Ltd,,,
UXBASIX Pty Ltd,,,
CKD Architects Pty Ltd,,,
• Ipsos Public Affairs,,,
• Kulzer Australia Pty Ltd,,,
NetEffects,,,
Mace Australia Pty Ltd,,,
Newcastle Weighing Services Pty Ltd,,,
PricewaterhouseCoopers's Indigenous Consulting,,,
885 Mountain Highway,,,
Squiz Australia Pty Ltd,,,
April9 Digital Consulting Pty Ltd,,,
a Playscape Creations,,,
IG3 Education,,,
GARBUTT  QLD  4814,,,
Teleflex Aust P,,,
Genus Advisory Pty Ltd,,,
Konekt,,,
Adaptra Group Pty Ltd,,,
Email: helpdesk@multhana.com.au,,,
a DXC Saltbush - formerly UXC Saltbush),,,
SecureCo Pty Ltd,,,
STEPS Staffing Solutions,,,
ASPECT DESIGN STUDIOS PTY LTD,,,
ATCO Structures and Logistics Pty Ltd,,,
Park Forge Pty Ltd,,,
Playpoles Pty Ltd (The Bruce Penfold Family Trust t,,,
Appscore International Pty Ltd,,,
Acclario IT Pty Ltd,,,
a Newart Commercial Furniture,,,
3. Advanced Mobile IT Ltd                        Category 1 & 2,,,
Endotherapeutics Pty Ltd,,,
Worksharp,,,
Miktysh,,,
MC & LTC Pty Ltd,,,
The Trustee for Faulkner Family Trust,,,
Rostron Carlyle Rojas Lawyers,,,
RightSec,,,
L (QCN) – ABN 75 633 081 517,75633081517.0,,extracted_from_name
"ACN: 083 014 340 Address Level 2, 449 Logan Rd Stones Corner QLD 4120 Contact Val Geraghty Title Senior Business Development Manager Phone (07) 3034 5477 Mobile 0438 602 455 Email val.geraghty@jobfit.com.au",,83014340.0,extracted_from_name
Tanya Mathers Architecture and Design,,,
Bedford Built Pty Ltd,,,
HAMBELL PLUMBING SERVICES PTY LTD,,,
Speculative Architecture Pty Ltd,,,
Savage Consulting Pty Ltd,,,
• Isuzu Ute,,,
D2L Australia,,,
• Elite Medical Supplies,,,
ASP Healthcare,,,
BSN Medical (Aust.) Pty Ltd,,,
Centium Pty Ltd - ABN 30646309015,30646309015.0,,extracted_from_name
Australian Red Cross Training Services,,,
WorkPac Health and Social Care Pty Ltd,,,
Matrix Traffic Consulting (QLD) Pty Ltd,,,
KLN ELECTRICAL SERVICES (QLD) PTY. LTD.,,,
Fuji Xerox Australia Pty Ltd - ABN 63000341819,63000341819.0,,extracted_from_name
North Townsville Community Hub,,,
Email:  info@uniquebuilding.com.au,,,
Ozwinds,,,
VIRGINIA  BC  QLD  4014,,,
Conduit Associates Pty Ltd,,,
YANDINA QLD 4561,,,
Blackboard International B.V.,,,
Video Pro,,,
Halcyon Knights Commercial & Contracting Pty Ltd,,,
ILG Consulting Services Pty Ltd,,,
Quantium Health Pty Ltd,,,
Adobe Resellers with GITC accreditation,,,
Rockfield Technologies Australia Pty Ltd,,,
Karlka Fencewright Qld Pty Ltd,,,
ConvaTec (Australia) Pty Limited,,,
a Forte Healthcare Solutions,,,
K.J. Ross & Associates Pty Ltd,,,
Thermo Fisher Scientific,,,
Phone: 07 3414 9100,,,
Honeywill Consulting Pty Ltd,,,
D.N.E. Pty Ltd (Don Neal Electrical,,,
CLEMMENTS ELECTRICAL PTY LTD,,,
Terra Firma Pty Ltd,,,
• AEC Group,,,
iCognition Pty Ltd,,,
Mobile: 0408 685 678,,,
Fortis Data Pty Ltd,,,
Threat Vector Security Pty Ltd,,,
Safe Driver Training (Aust),,,
- Stryker Australia Pty Ltd,,,
Block 5 Consulting Pty Ltd,,,
CARLAND SECURITIES PTY LTD,,,
Wilde and Woollard (Qld) Pty Ltd,,,
Enosys Solutions (a CyberCX company),,,
3rdView Consulting Pty Ltd,,,
a Hammond & Neale,,,
HRS,,,
DXC Technology (Australia) Pty Ltd (formerly UXC Limited),,,
Computer Systems (Australia) Pty Ltd (CSA),,,
Thesoco Pty Ltd (t,,,
Quest Surgical Pty Ltd,,,
Cirqle Group Pty Ltd,,,
Competitive Pest Services,,,
CyberGuru,,,
Direct National,,,
Communications Design and Management Pty Ltd (t,,,
Engage4Change,,,
Business Development Manager,,,
vPerformance,,,
Contact: Vanessa Gibbon,,,
NORTHERN AIR REPAIR PTY LTD,,,
Instructure Global,,,
Nudicover (The Financial Services Academy Pty Ltd),,,
Alcon Laboratories Pty Ltd,,,
JIM ROBERTS LOCKSMITH PTY LTD,,,
StruXi Design Pty Ltd,,,
Mott MacDonald Australia Pty Ltd,,,
Grand Sun International (Australia) Pty Ltd,,,
HealthX Group Pty Ltd,,,
Sentis Australia (Newland Gray Pty Ltd as trustee for Newland Gray Trust),,,
Data#3 Limited,,,
School Dispute Resolution Services (Ross Comyn McSwan),,,
a Beaumont People,,,
Jakeman Business Solutions Pty Ltd t,,,
Element8 Project Group Pty Ltd,,,
Kent Relocation Group Contact: Charles Garner email: QLDGov@kentrelocationgroup.com,,,
Broad Constuction Services Pty Ltd,,,
Funnelback Pty Ltd,,,
Email:  khobl@cnw.com.au,,,
Ansible Pty Ltd (formally Mnet Mobile Pty Ltd),,,
Ensure Building Pty Ltd t,,,
Aston Carter,,,
Davidson Technology Consulting Pty Ltd (formerly Monitor),,,
Jacobs Group Australia) Pty Ltd,,,
Just Digital People Pty Ltd,,,
a InterTech Financial Solutions),,,
Abbott Medical Aust P,,,
Cosive Pty Ltd,,,
Email:  tenders@nhdickinson.com.au,,,
• B. Braun Australia Pty Ltd,,,
Integral Technology Solutions Pty Ltd,,,
Litmus Group,,,
A Aileron Group,,,
FVS AIRCONDITIONING AND ELECTRICAL PTY LTD,,,
Laminar Communications Pty Ltd,,,
Infinite Music,,,
InfoReady Pty Ltd,,,
Civil and Sports Constructions t,,,
Contact: Ashley Job,,,
Logix Engineering Pty Ltd,,,
Happy Hygiene Pty Ltd (Happy Healthcare),,,
All Sport Projects,,,
Sentient Dynamics Pty Ltd,,,
MinterEllison Consulting Pty Ltd (formally IT Newcom Pty Ltd),,,
a ShedEx Townsville,,,
RPS AAP Consulting,,,
A Digital Sense - ABN 20122291150,20122291150.0,,extracted_from_name
Blackbook AI,,,
Infoxchange,,,
• KPMG,,,
- Heraeus Medical Australia Pty Ltd,,,
"ACN 100 261 265 Address Level 5, 410 Ann Street Brisbane QLD 4000 Contact Brodi Jones Title Client Partner Phone (07) 3058 8313 Mobile 0491 228 245 Email brodi.jones@sonichealthplus.com.au",,100261265.0,extracted_from_name
The Salvation Army,,,
Allens Training Pty Ltd,,,
Cox Industries Pty Ltd,,,
Central Queensland University,,,
Select Patient Care,,,
Destravis Australia Pty Ltd,,,
Budget Rent a Car Australia Pty Ltd,,,
Centre for Leadership Excellence,,,
TrailScapes Pty Ltd,,,
Alpha Acoustics Pty Ltd,,,
POWER & DATA SUPPORT SERVICES PTY LTD,,,
Architectural Nature Pty Ltd,,,
25 Colebard Street,,,
Nexxt Group (formerly Next Paradigm),,,
Australian 4WD and Advanced Driver Education,,,
Facsimile: (07) 3899 1260,,,
Findmea Pty Ltd,,,
Hansen Yuncken (Qld) Pty Ltd,,,
Thelander Architecture and Interiors,,,
• BYD,,,
Telephone: 0423 938 866,,,
Mölnlycke Health Care Pty Ltd,,,
A Perrigo Australia Sarstedt Australia Pty Ltd,,,
Customer Management Technologies Pty Ltd (t,,,
Sense of Security (a CyberCX company),,,
Gordon Gould Ipson Architects,,,
• Medline International Two Pty Ltd,,,
Sonita Medic Enterprises Pty Ltd,,,
Hunt Company Pty Ltd t,,,
Broadley HR,,,
A Hollister,,,
Rork Projects Pty Ltd,,,
Arjo Australia Pty Ltd,,,
Gridstone,,,
"Infosys Limited  - Dheeraj Chowdhury, mobile 0400 776 376, email Dheeraj_Chowdhury@infosys.com",,,
Macksey Rush Architects Pty Ltd,,,
Fisher & Paykel Healthcare Pty Limited,,,
• Australia Online Research (AOR),,,
Telephone: (07) 3872 7660,,,
4Impact Pty Ltd,,,
Bluetree Solutions Pty Ltd,,,
"Supplier Details:	Supplier contact: John Leighton, Strategic Account Executive - Public Sector QLD, mobile 0411 199 934, email john.leighton@salesforce.com",,,
Barhead Solutions Australia Pty Ltd,,,
Insight Enterprises Australia Pty Ltd,,,
Mobile:      0408 156 021,,,
AWX Pty Ltd,,,
PO Box 296,,,
SCIBAN ELECTRONIC SECURITY PTY LTD,,,
Intuitas Pty Ltd,,,
BrightSky Australia,,,
6. Buyequip Pty Ltd                                 Category 2,,,
Veracity Business Solutions Pty Ltd,,,
Peoplebank Australia Limited,,,
BITQ,,,
ORMEAU QLD  4208,,,
Symbio Australia Pty Ltd,,,
• Enhance Research (Enhance Management),,,
Corcym Aust P,,,
Cornwalls (QLD),,,
1800 024 407 or +61 2 4647 1444,,,
"Fujitsu Australia Limited, ABN 19 001 011 427",19001011427.0,,extracted_from_name
Excel Recruitment & Rexco People,,,
Mark Haster Painting Pty Ltd,,,
Gilking School Supplies,,,
"Business Aspect Pty Ltd, ABN 11 112 888 785",11112888785.0,,extracted_from_name
AECOM Australia Pty Ltd,,,
Rex,,,
McGrathNicol Advisory Partnership,,,
Sinapse,,,
Chandler Macleod Group Ltd,,,
The Peacock Collective,,,
Adepto Solutions,,,
Geared Up Culcha,,,
ABN: 52 153 718 122,52153718122.0,,extracted_from_name
Centum Services Pty Ltd ATF The Van Dyk Family Trust - ABN 71500774754,71500774754.0,,extracted_from_name
Regional Health Solutions Pty Ltd,,,
Contact:  Shaun Brehaut,,,
Intro Recruitment Solutions Pty Ltd,,,
CONTACT: Matthew Wilson,,,
HUNT BOILERS PWS PTY LTD,,,
Unit 1,,,
Trace Project Management,,,
Information Professionals Pty Ltd,,,
Fresenius Kabi Australia Pty Limited,,,
Powell Dods & Thorpe Pty Ltd,,,
Contact: Logan Cameron,,,
a Zenith Interiors,,,
GLG Consulting,,,
Hewshott International,,,
Loftus Contracting Pty Ltd,,,
BALEC GROUP PTY LTD,,,
Bernies Pie Shoppe,,,
Buzz Music,,,
Ochre Recruitment Pty Limited,,,
Innovo Technology Solutions,,,
• 3M Australia Pty Ltd,,,
Verus People Pty Ltd,,,
KO & Co Architecture Pty Ltd,,,
"iNSPYR,",,,
Jones Lang LaSalle (Qld) Pty Limited,,,
Sutherland Computer Training Pty Ltd,,,
2 SAN,,,
Deaf Services Limited,,,
Weartek Pty Ltd,,,
Chubb,,,
HPTschools PTY LTD,,,
PM Solutions Australia,,,
1 Medical Pty Ltd,,,
WorkFocus Australia,,,
Holding Redlich,,,
Explanimate! Pty Ltd (Ipermedia),,,
Live Communications Pty Ltd T,,,
Save Our Supplier Ltd,,,
Davidson Technology (Australia) Pty Ltd,,,
A1 COOLING PTY LTD,,,
Telephone: 0430 354 881,,,
Slattery Australia Pty Ltd,,,
Draeger Australia Pty Ltd,,,
Telephone: 1300 881 926,,,
Henry Schein Halas Regional Pty Ltd,,,
Medical Dental Solutions NQ Pty Ltd (THHS only),,,
Cardiff Air Control Systems Pty Ltd,,,
a Rizon Building,,,
IVE Group Australia Pty Ltd,,,
Medical + Optical Instruments Australia Pty Ltd,,,
SWISH Coaching (IS Recruitment Pty Ltd),,,
"NRI Australia Limited Contact – Stephen Ward,",,,
Sentry Medical Pty Ltd,,,
a Passport 360),,,
Computer Alliance,,,
GUISEPPE A. AUDITORE PTY LTD,,,
TPG Telecom Limited (formerly Vodafone Hutchison Australia Pty Ltd) – ABN 76096304620,76096304620.0,,extracted_from_name
ACN: 114 691 860 Address 123 Logan Rd Woolloongabba QLD 4102 Contact Clark Hopley Phone (07) 3391 2623 Mobile 0408 480 454 Email clark@kinnect.com.au,,114691860.0,extracted_from_name
• Renault,,,
Digital Access Solutions and Assistive Technology Pty Ltd,,,
Blue Visions Management Pty Ltd,,,
Breadcrumb Digital Pty Ltd,,,
ADASIS Consulting Pty Ltd t,,,
C3 Business Solutions Pty Ltd,,,
KPMG Australia Organisation Dynamics Pty Ltd,,,
Exent Consulting,,,
CANELEC PTY. LTD.,,,
"675 MacArthur Avenue,",,,
Tritusa Pty Ltd (t,,,
Haynes Mechanical Pty Ltd,,,
Kiah Consulting (Kiah Pty Ltd),,,
KLS Martin Aust P,,,
Palladium Infrastructure Pty Ltd,,,
Telstra Corporation Limited - ABN 33051775556,33051775556.0,,extracted_from_name
Guru Dirt Works,,,
Yellowhouse Net Pty Ltd,,,
Beilby Downing Teal Pty Ltd,,,
m3architecture Pty Ltd,,,
Little Critters Pest Control,,,
GROSVENOR ENGINEERING GROUP PTY LTD,,,
Collaborative ITS Consulting Australia Pty Ltd (CICA),,,
Rocket Medical Pty Ltd,,,
Tribus Advisory Pty Ltd,,,
Beaumont Consulting Pty Ltd t,,,
SALTT Technologies,,,
• ConvaTec Australia Pty Ltd,,,
Vault Systems Pty Ltd,,,
First People Recruitment Solutions Pty Ltd,,,
- LifeHealthcare Distribution Pty Ltd*,,,
F.A.S.T. (FIRE AUDIT SPECIALIST TECHNICIANS) PTY LTD,,,
Smith & Nephew Pty Limited,,,
ALLBUILD NQ PTY LTD,,,
Majer Recruitment,,,
Australian Film Television and Radio School (AFTRS),,,
Nicole Avery – reception@brandons.com.au,,,
IPS Management Consultants,,,
CONTACT: Ben Hofmann,,,
"Australasian Leadership Academy,",,,
U Plan Pty Ltd,,,
Spur:Labs,,,
CMC QUEENSLAND PTY LTD,,,
• LDV,,,
Radiometer Pacific Pty Ltd,,,
Unit 3,,,
Bright Consulting,,,
Infinite Talent Group Pty Ltd,,,
B & T STANTON ENTERPRISES PTY LTD,,,
ABN: 65 007 516 841,65007516841.0,,extracted_from_name
Wipro Limited,,,
BDO Services Pty Ltd - ABN 45134242434,45134242434.0,,extracted_from_name
Engage Squared Pty Ltd,,,
Converge International,,,
Limited CBRE (GCS) Pty Limited,,,
LMT Surgical Pty Ltd,,,
A UPTI – ABN 63163588912,63163588912.0,,extracted_from_name
NTT DATA Business Solutions Australia Pty Ltd,,,
Acumentis,,,
CMA Management Group T,,,
Nova Systems Australia Pty Ltd,,,
